ligname	jan-id	Kd-exp	expt-dg	expt-err
l1	LDHA12	0.00077	-4.24589	0.1
l2	LDHA14	0.0042	-3.24117	0.1
l3	LDHA15	0.00079	-4.23071	0.1
l4	LDHA16	0.0005	-4.50161	0.1
l5	LDHA17	4e-005	-5.99747	0.1
l6	LDHA18	0.00013	-5.29942	0.1
l7	LDHA19	0.005	-3.13791	0.1
l8	LDHA20	0.00021	-4.87161	0.1
l9	LDHA21	0.00028	-4.84501	0.1
l10	LDHA22	0.00077	-4.24589	0.1
l11	LDHA23	3.5e-005	-6.07655	0.1
l12	LDHA24	0.00016	-5.17644	0.1
l13	LDHA25	0.0011	-4.03465	0.1
l14	LDHA26	1.3e-007	-9.39052	0.1
l15	LDHA27	4.6e-008	-10.0058	0.1
l16	LDHA28	3.2e-006	-7.49333	0.1
l17	LDHA29	6.9e-008	-9.76566	0.1
l18	LDHA30	1.2e-006	-8.07422	0.1
l19	LDHA31	6e-008	-9.84844	0.1
l20	LDHA32	1.8e-007	-9.19778	0.1
l21	LDHA33	9.3e-008	-9.58888	0.1
l22	LDHA34	8e-009	-11.0418	0.1
